web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,details,prix,adresse,image_link-src
"1738539360-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Appartement à louer à mermoz","https://www.dakarvente.com/annonce-119-appartement-louer-mermoz.html","Appartement à louer à mermoz","2.700.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/5963a9d0467c55a6ab1d3e4d1a934731.jpg"
"1738539367-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Chambre à louer à fass","https://www.dakarvente.com/annonce-82-chambre-louer-fass.html","Chambre à louer à fass","40.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/9210b790b8cf7f01724c688e72e39859.jpg"
"1738539371-314","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","grand studio a louer au rond point case ba parcelle","https://www.dakarvente.com/annonce-11368-grand-studio-a-louer-au-rond-point-case-ba-parcelle.html","grand studio a louer au rond point case ba parcelle","150.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/094d34714c3ced8507de828d58bfcb9f.jpg"
"1738539374-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Appartement à la place de l'indépendance","https://www.dakarvente.com/annonce-64-appartement-la-place-de-l-indpendance.html","Appartement à la place de l'indépendance","1.300.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/1874380673a88fd80582a6a25d8d1167.jpg"
"1738539379-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Appartement à liberté 6 au 2ème étage","https://www.dakarvente.com/annonce-63-appartement-libert-6-au-2me-tage.html","Appartement à liberté 6 au 2ème étage","225.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/f258ba17512a06b22eea8907f577e983.jpg"
"1738539383-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Hann maristes - appartement, studio","https://www.dakarvente.com/annonce-61-hann-maristes-appartement-studio.html","Hann maristes - appartement, studio","120.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/b24c5ccdd9dd42e85a52767f3863f389.jpg"
"1738539385-315","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","Location local pour bureau","https://www.dakarvente.com/annonce-11401-location.html","Location local pour bureau","200.000  FCFA","Offre d'un particulier à Médina","media/annonces/pics/1ab084eaf6a2bd5c83fb769689b0f1cb.jpg"
"1738539389-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Appartement à louer aux mamelles","https://www.dakarvente.com/annonce-60-appartement-louer-aux-mamelles.html","Appartement à louer aux mamelles","250.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/c6ac0a89509bd11f244b63609201fa63.jpg"
"1738539393-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Hann maristes - appartement","https://www.dakarvente.com/annonce-59-hann-maristes-appartement.html","Hann maristes - appartement","200.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/72930d2a68589c8c9c37c80c45de3584.jpg"
"1738539394-316","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","Deux Appartement à louer à Dakar Plateau","https://www.dakarvente.com/annonce-11609-deux-appartement-louer-dakar-plateau.html","Deux Appartement à louer à Dakar Plateau","325.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/d71c11cd0dece9d3ffe70f39c9bc4b3b.png"
"1738539400-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Appartement lumineux à louer","https://www.dakarvente.com/annonce-37-appartement-lumineux-louer.html","Appartement lumineux à louer","260.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/186de36c0f87f24cd211421cdbdb7112.jpg"
"1738539405-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Bel appartement à louer à petit mbao","https://www.dakarvente.com/annonce-36-bel-appartement-louer-petit-mbao.html","Bel appartement à louer à petit mbao","125.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/e3eba5570dc4db0437079dfa02882c2f.jpg"
"1738539406-317","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","APPARTEMENT A LOUER A KEUR MASSAR","https://www.dakarvente.com/annonce-11638-appartement-a-louer-a-keur-massar.html","APPARTEMENT A LOUER A KEUR MASSAR","90.000  FCFA","Offre d'un particulier à Keur Massar","media/annonces/pics/0ad2b742ddf96487df2a39d80c4dd6e5.jpeg"
"1738539411-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Mamelles - appartement","https://www.dakarvente.com/annonce-22-mamelles-appartement.html","Mamelles - appartement","275.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/34fc5f5c2564b68a251d3429f10a1ef5.jpg"
"1738539417-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Villa à ndiakhirate","https://www.dakarvente.com/annonce-21-villa-ndiakhirate.html","Villa à ndiakhirate","100.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/4b55a54887282bbf170cfa0d6d4b6844.jpg"
"1738539424-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Virage - appartement","https://www.dakarvente.com/annonce-6-virage-appartement.html","Virage - appartement","1.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/2d30b065e26bc6631e647bd3b1d637ec.jpg"
"1738539434-318","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","APPARTEMENT A LOUER A KEUR MASSAR","https://www.dakarvente.com/annonce-11640-appartement-a-louer-a-keur-massar.html","APPARTEMENT A LOUER A KEUR MASSAR","100.000  FCFA","Offre d'un particulier à Keur Massar","media/annonces/pics/f488701db74fba47386dca440f93636e.jpg"
"1738539435-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Villa r+1 à mermoz","https://www.dakarvente.com/annonce-5-villa-r-1-mermoz.html","Villa r+1 à mermoz","1.300.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/55c63adf7eefb610725597dce2c8f794.jpg"
"1738539444-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","Duplex à louer","https://www.dakarvente.com/annonce-208-duplex-louer.html","Duplex à louer","1.200.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/1e6250e55aace91d807a0016d1c460ba.jpg"
