web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,details,prix,adresse,image_lien-src
"1738617690-1","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","Virage Appartement A Vendre","https://www.dakarvente.com/annonce-1069-virage-appartement-a-vendre.html","Virage Appartement A Vendre","115.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/b00bf2d450bded4f16fadad64cf2dacf.jpg"
"1738617694-2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","Immeuble r+ 2 à la cité millionnaire","https://www.dakarvente.com/annonce-2054-immeuble-r-2-la-cit-millionnaire.html","Immeuble r+ 2 à la cité millionnaire","95.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a2d4110dc20a892aa2aabc30ca7faeb8.jpg"
"1738617698-3","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","Villa djilor fimela","https://www.dakarvente.com/annonce-2116-villa-djilor-fimela.html","Villa djilor fimela","150.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/9979709f53327f6b9b092f085cb7f32d.jpg"
"1738617702-4","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","A vendre des appartements à Sacré Cœur Keur Gorgui","https://www.dakarvente.com/annonce-4342-a-vendre-des-appartements-sacr-coeur-keur-gorgui.html","A vendre des appartements à Sacré Cœur Keur Gorgui","155.000.000  FCFA","Offre d'un professionnel à Cité Keur Gorgui","media/annonces/pics/29d04aabf097486ede10527582a385b9.jpg"
"1738617707-5","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","Appartements grand standing à vendre","https://www.dakarvente.com/annonce-4632-appartements-grand-standing-vendre.html","Appartements grand standing à vendre","63.000.000  FCFA","Offre d'un particulier à Nord Foire","media/annonces/pics/30bcb65a3e98a88b2ff58b2ecd4b0b11.jpg"
"1738617712-6","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","vente d'appartement de type F4","https://www.dakarvente.com/annonce-5090-vente-d-appartement-de-type-f4.html","vente d'appartement de type F4","146.000.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/b7a821195d18f6c3374fd0fb3a74b871.jpg"
"1738617716-7","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","vente d'appartement de type F5","https://www.dakarvente.com/annonce-5091-vente-d-appartement-de-type-f5.html","vente d'appartement de type F5","156.000.000  FCFA","Offre d'un particulier à Ngor","media/annonces/pics/8e7479b04299fed958eff7897403d767.jpg"
"1738617720-8","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","vente d'appartement haut standing ultra luxueuse","https://www.dakarvente.com/annonce-5103-vente-d-appartement-haut-standing-ultra-luxueuse.html","vente d'appartement haut standing ultra luxueuse","156.000.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/11dff5857446f27e5c0588594bcf6233.jpg"
"1738617725-9","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","Vente Appartement Grand Standing","https://www.dakarvente.com/annonce-5105-vente-appartement-grand-standing.html","Vente Appartement Grand Standing","146.000.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/533e9402c3c773c86fdf14202423bc47.jpg"
"1738617729-10","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","APPARTEMENT HAUT STANDING F5: LE LUXE ULTIME","https://www.dakarvente.com/annonce-5148-appartement-haut-standing-f5-le-luxe-ultime.html","APPARTEMENT HAUT STANDING F5: LE LUXE ULTIME","168.000.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/addfec4edff7e1360415c83295257e4d.jpg"
