web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,détails,prix,adresse,image_link-src
"1738622012-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=59","Keur massar - terrain","https://www.dakarvente.com/annonce-38-keur-massar-terrain.html","Keur massar - terrain","3.500.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/cf16bc10ac0c745700c7d3c81498ad2b.jpg"
"1738622017-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=59","Terrains viabilisés à vendre!","https://www.dakarvente.com/annonce-370-terrains-viabiliss-vendre.html","Terrains viabilisés à vendre!","6.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/21401911dc748222a45e300df2168e55.jpg"
"1738622020-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=59","Terrain","https://www.dakarvente.com/annonce-615-terrain.html","Terrain","120.000.000  FCFA","Offre d'un particulier à Thiès","media/annonces/pics/359cb07d7bfef1a735b36566cb30f356.jpg"
"1738622032-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","TERRAINS A VENDRE","https://www.dakarvente.com/annonce-671-terrains-a-vendre.html","TERRAINS A VENDRE","8.500.000  FCFA","Offre d'un particulier à Guédiawaye","img/nophoto.png"
"1738622037-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","TERRAINS A VENDRE A GUEDE TOUBA","https://www.dakarvente.com/annonce-672-terrains-a-vendre-a-guede-touba.html","TERRAINS A VENDRE A GUEDE TOUBA","4.500.000  FCFA","Offre d'un particulier à Diourbel","img/nophoto.png"
"1738622041-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Terrain à kayar","https://www.dakarvente.com/annonce-40-terrain-kayar.html","Terrain à kayar","2.500.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/ffb509f95736bb7ebe4b8b8f31a65422.jpg"
"1738622046-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Lot de terrains de 225 m² à diass","https://www.dakarvente.com/annonce-39-lot-de-terrains-de-225-m-diass.html","Lot de terrains de 225 m² à diass","3.000.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/f56e59a283850a36def118ab3e13b8c4.jpg"
"1738622051-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","TERRAIN A VENDRE A MALIBU GOLF","https://www.dakarvente.com/annonce-699-terrain-a-vendre-a-malibu-golf.html","TERRAIN A VENDRE A MALIBU GOLF","18.000.000  FCFA","Offre d'un particulier à Guédiawaye","img/nophoto.png"
"1738622056-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Terrain urgent a vendre","https://www.dakarvente.com/annonce-724-terrain-vague.html","Terrain urgent a vendre","2.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/36d6598be05f171bff68de123f6cb442.jpeg"
"1738622061-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","TERRAIN  A VENDRE CITTE DALAL DIAM","https://www.dakarvente.com/annonce-674-terrain-a-vendre-citte-dalal-diam.html","TERRAIN  A VENDRE CITTE DALAL DIAM","28.000.000  FCFA","Offre d'un particulier à Guédiawaye","img/nophoto.png"
"1738622065-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Terrain à vendre Zone B","https://www.dakarvente.com/annonce-814-terrain-vendre-zone-b.html","Terrain à vendre Zone B","230.000.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/16a5baefcc6d02dbcb4f0ebd85c0adfe.jpg"
"1738622071-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Vente terrain","https://www.dakarvente.com/annonce-839-vente-terrain.html","Vente terrain","18.000.000  FCFA","Offre d'un particulier à Thiès","media/annonces/pics/96d0c65132e226bcc70c3767e2468249.jpg"
"1738622076-13","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","https://www.dakarvente.com/annonce-849-terrains-de-150-m2-almadies-2-zac-mbao-cot-d-page.html","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","1.000.000  FCFA","Offre d'un particulier à Rufisque","media/annonces/pics/8e5b8576ae2e23d82b805faa59f4dbe0.jpg"
"1738622082-14","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Terrain à vendre à partir de 1 ha, vue sur la lagune.","https://www.dakarvente.com/annonce-940-terrain-vendre-partir-de-1-ha-vue-sur-la-lagune.html","Terrain à vendre à partir de 1 ha, vue sur la lagune.","12.000  FCFA","Offre d'un particulier à Mbour","media/annonces/pics/7986a77d3123955e348c564e3061f245.jpg"
"1738622087-15","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Vends terrain 150m2 à Bambilor","https://www.dakarvente.com/annonce-978-vends-terrain-150m2-bambilor.html","Vends terrain 150m2 à Bambilor","2.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/44b400221f2aa271dc46ad95b8b6c1ec.jpg"
"1738622090-16","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","DES TERRAINS A VENDRE","https://www.dakarvente.com/annonce-982-des-terrains-a-vendre.html","DES TERRAINS A VENDRE","10.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a5276af01a98c4f0c6bc98e049222486.jpg"
"1738622096-17","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=58","Diass Aeroport ( Thicky ) Terrains A Vendre","https://www.dakarvente.com/annonce-996-diass-aeroport-thicky-terrains-a-vendre.html","Diass Aeroport ( Thicky ) Terrains A Vendre","1.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/30a15a4fd0a31376d5c8fbf176bbb5cc.jpg"
